Month,Bill
2022-01,38000
2022-02,40000
2022-03,42000
2022-04,45000
2022-05,48000
2022-06,46000
2022-07,44000
2022-08,42000
2022-09,40000
2022-10,41000
2022-11,43000
2022-12,45000
2023-01,42000
2023-02,45000
2023-03,48000
2023-04,52000
2023-05,56000
2023-06,54000
2023-07,51000
2023-08,49000
2023-09,47000
2023-10,48000
2023-11,50000
2023-12,52000
2024-01,45000
2024-02,48000
2024-03,52000
2024-04,55000
2024-05,58000
2024-06,54000
2024-07,50000
2024-08,48000
2024-09,46000
2024-10,49000
2024-11,51000
2024-12,53000
